#####################################################################
# Alchemist log file - simulation started at: 2024-05-30T13:51+0000 #
#####################################################################
#
# seed = 25.0, leaderInitialResource = 1000, resourceUpperBound = 10, resourceLowerBound = 10, spawningRatio = 500, maxChildren = 5, gaussianShape = 5, initialNodes = 1, resourceRadius = 6.0
#
# The columns have the following meaning: 
# simulation_time nodes limited_size full_size 
1086.2459822523015 43.0 1864.0 66599.0
1089.2459822523015 42.0 1823.0 65125.0
1092.2459822523015 42.0 1823.0 65123.0
1095.2459822523015 41.0 1782.0 63608.0
1098.2459822523015 41.0 1782.0 63575.0
1101.2459822523015 41.0 1782.0 63572.0
1104.2459822523015 41.0 1782.0 63576.0
1107.2459822523015 41.0 1782.0 63554.0
1110.2459822523015 41.0 1782.0 63554.0
1113.2459822523015 41.0 1782.0 63554.0
1116.2459822523015 41.0 1782.0 63554.0
1119.2459822523015 41.0 1782.0 63554.0
1122.2459822523015 43.0 1869.0 66552.0
1125.2459822523015 47.0 2031.0 72778.0
1128.2459822523015 47.0 2031.0 72949.0
1131.2459822523015 47.0 2031.0 73008.0
1134.2459822523015 44.0 1907.0 68480.0
1137.2459822523015 44.0 1907.0 68432.0
1140.2459822523015 44.0 1907.0 68423.0
1143.2459822523015 42.0 1822.0 65344.0
1146.2459822523015 42.0 1822.0 65341.0
1149.2459822523015 42.0 1822.0 65339.0
1152.2459822523015 42.0 1822.0 65333.0
1155.2459822523015 42.0 1822.0 65310.0
1158.2459822523015 42.0 1822.0 65310.0
1161.2459822523015 42.0 1822.0 65310.0
1164.2459822523015 42.0 1822.0 65310.0
1167.2459822523015 42.0 1822.0 65310.0
1170.2459822523015 44.0 1910.0 68313.0
1173.2459822523015 46.0 1991.0 71433.0
1176.2459822523015 46.0 1991.0 71631.0
1179.2459822523015 46.0 1991.0 71632.0
1182.2459822523015 43.0 1864.0 67007.0
1185.2459822523015 43.0 1864.0 66999.0
1188.2459822523015 43.0 1864.0 67000.0
1191.2459822523015 43.0 1864.0 66962.0
1194.2459822523015 43.0 1864.0 66962.0
1197.2459822523015 43.0 1864.0 66962.0
1200.2459822523015 43.0 1864.0 66962.0
1203.2459822523015 43.0 1864.0 66962.0
1206.2459822523015 44.0 1908.0 68464.0
1209.2459822523015 46.0 1991.0 71456.0
1212.2459822523015 46.0 1991.0 71596.0
1215.2459822523015 45.0 1947.0 70088.0
1218.2459822523015 43.0 1864.0 66991.0
1221.2459822523015 43.0 1864.0 66993.0
1224.2459822523015 43.0 1864.0 66996.0
1227.2459822523015 43.0 1864.0 66962.0
1230.2459822523015 43.0 1864.0 66962.0
1233.2459822523015 43.0 1864.0 66962.0
1236.2459822523015 43.0 1864.0 66962.0
1239.2459822523015 43.0 1864.0 66962.0
1242.2459822523015 44.0 1909.0 68467.0
1245.2459822523015 45.0 1947.0 69922.0
1248.2459822523015 45.0 1947.0 70099.0
1251.2459822523015 45.0 1947.0 70094.0
1254.2459822523015 43.0 1864.0 67008.0
1257.2459822523015 43.0 1864.0 67001.0
1260.2459822523015 43.0 1864.0 66998.0
1263.2459822523015 43.0 1864.0 66962.0
1266.2459822523015 43.0 1864.0 66962.0
1269.2459822523015 43.0 1864.0 66962.0
1272.2459822523015 43.0 1864.0 66962.0
1275.2459822523015 43.0 1864.0 66962.0
1278.2459822523015 44.0 1909.0 68466.0
1281.2459822523015 46.0 1987.0 71429.0
1284.2459822523015 46.0 1987.0 71578.0
1287.2459822523015 46.0 1987.0 71635.0
1290.2459822523015 44.0 1905.0 68570.0
1293.2459822523015 44.0 1905.0 68560.0
1296.2459822523015 44.0 1905.0 68568.0
1299.2459822523015 44.0 1905.0 68529.0
1302.2459822523015 44.0 1905.0 68529.0
1305.2459822523015 44.0 1905.0 68529.0
1308.2459822523015 44.0 1905.0 68529.0
1311.2459822523015 44.0 1905.0 68529.0
1314.2459822523015 45.0 1949.0 70032.0
1317.2459822523015 46.0 1992.0 71557.0
1320.2459822523015 45.0 1947.0 70132.0
1323.2459822523015 44.0 1905.0 68577.0
1326.2459822523015 44.0 1905.0 68579.0
1329.2459822523015 44.0 1905.0 68570.0
1332.2459822523015 44.0 1905.0 68529.0
1335.2459822523015 44.0 1905.0 68529.0
1338.2459822523015 44.0 1905.0 68529.0
1341.2459822523015 44.0 1905.0 68529.0
1344.2459822523015 44.0 1905.0 68529.0
1347.2459822523015 45.0 1948.0 70030.0
1350.2459822523015 46.0 1989.0 71532.0
1353.2459822523015 46.0 1989.0 71667.0
1356.2459822523015 46.0 1989.0 71647.0
1359.2459822523015 45.0 1947.0 70060.0
1362.2459822523015 44.0 1905.0 68559.0
1365.2459822523015 44.0 1905.0 68565.0
1368.2459822523015 44.0 1905.0 68564.0
1371.2459822523015 44.0 1905.0 68529.0
1374.2459822523015 44.0 1905.0 68529.0
1377.2459822523015 44.0 1905.0 68529.0
1380.2459822523015 44.0 1905.0 68529.0
1383.2459822523015 44.0 1905.0 68529.0
1386.2459822523015 45.0 1950.0 70032.0
1389.2459822523015 45.0 1947.0 70003.0
1392.2459822523015 45.0 1947.0 70125.0
1395.2459822523015 45.0 1947.0 70110.0
1398.2459822523015 44.0 1905.0 68533.0
1401.2459822523015 44.0 1905.0 68574.0
1404.2459822523015 44.0 1905.0 68538.0
1407.2459822523015 44.0 1905.0 68529.0
1410.2459822523015 44.0 1905.0 68529.0
1413.2459822523015 44.0 1905.0 68529.0
1416.2459822523015 44.0 1905.0 68529.0
1419.2459822523015 44.0 1905.0 68527.0
1422.2459822523015 46.0 1992.0 71605.0
1425.2459822523015 46.0 1990.0 71650.0
1428.2459822523015 45.0 1945.0 70084.0
1431.2459822523015 44.0 1905.0 68563.0
1434.2459822523015 44.0 1905.0 68574.0
1437.2459822523015 44.0 1905.0 68538.0
1440.2459822523015 44.0 1905.0 68529.0
1443.2459822523015 44.0 1905.0 68529.0
1446.2459822523015 44.0 1905.0 68529.0
1449.2459822523015 44.0 1905.0 68529.0
1452.2459822523015 44.0 1905.0 68527.0
1455.2459822523015 46.0 1990.0 71567.0
1458.2459822523015 46.0 1989.0 71658.0
1461.2459822523015 46.0 1989.0 71651.0
1464.2459822523015 45.0 1948.0 70075.0
1467.2459822523015 44.0 1905.0 68580.0
1470.2459822523015 44.0 1905.0 68549.0
1473.2459822523015 44.0 1905.0 68570.0
1476.2459822523015 44.0 1905.0 68529.0
1479.2459822523015 44.0 1905.0 68529.0
1482.2459822523015 44.0 1905.0 68529.0
1485.2459822523015 44.0 1905.0 68529.0
1488.2459822523015 44.0 1905.0 68529.0
1491.2459822523015 45.0 1949.0 70028.0
1494.2459822523015 45.0 1946.0 70005.0
1497.2459822523015 45.0 1946.0 70109.0
1500.2459822523015 45.0 1946.0 70109.0
1503.2459822523015 44.0 1905.0 68545.0
1506.2459822523015 44.0 1905.0 68548.0
1509.2459822523015 44.0 1905.0 68556.0
